smiles,HLM
CC(=O)Nc1ccc(-n2nnc(C(=O)NCCCN(C)C)c2N)cc1,72.384
O=C(Cc1noc2ccccc12)N1CCn2c1nc1ccccc12,64.073
CCN(CC)CCCNc1oc(-c2ccco2)nc1S(=O)(=O)c1ccc2c(c1)OCCO2,41.949
COC(=O)c1ccc(CCC(C)NCC(O)c2cccc(Cl)c2)o1,4.987
COc1cc(=O)n2c(c1C(=O)Nc1ccc(Cl)c(C)c1)CCCC2,48.46
CC(NC(=O)Nc1ccc(F)cc1Br)c1cn[nH]c1,92.326
c1ccc(C2CC(c3cccs3)Nc3ncnn32)cc1,51.47
NC(=O)c1c(-c2ccc(Cl)cc2Cl)csc1NC(=O)CC1(CC(=O)O)CCCC1,57.27
Cc1nc(C)c(S(=O)(=O)N(C)CC(C)(C)O)s1,68.768
CCOc1ccc(OCC)c(NC(=O)c2cc(S(=O)(=O)N3CCOCC3)cn2C)c1,62.58
Cc1nc(C)c(COCc2ccccc2)c(-c2ccc(Cl)cc2)c1CO,51.74
COc1ccccc1-n1c(=O)n(Cc2cccc(C)c2)c(=O)c2c(C)cc(C)nc21,0.98
Cn1c(C(F)(F)F)nn(CCNS(=O)(=O)CCN2C(=O)CCCC2=O)c1=O,99.9
O=c1ccc(-c2ccc(S(=O)(=O)NCc3cccc(Br)c3)s2)n[nH]1,14.71
[H][C@]1(NC(=O)OCc2ccccc2)C2C=CC(C2)[C@@]1([H])C(O)(c1ccccc1)c1ccccc1,38.995
C[C@H]1CCCC(=O)CCCCCc2cc(OCc3ccccc3)cc(O)c2C(=O)O1,64.05
O=C(COc1ccc2c3ccccc3n(C(=O)c3cccnc3)c2c1)N1CCCCC1,0.39
O=c1[nH]ccn2nc(-c3ccc(F)cc3)c(CO)c12,99.99
CCC12OCC(C)(C)N1O/C(=N/c1ccccc1)N2c1ccccc1,5.95
COc1ccc(C)cc1NC(=O)c1cc(S(=O)(=O)N2CCOCC2)cn1C,42.46
CCn1cc(S(=O)(=O)N2CCc3n[nH]c(=O)n3CC2)cn1,49.31
COc1ccc(OC)c(NC(=O)c2ccc(N(C)S(=O)(=O)c3ccc(OC)c(OC)c3)cc2)c1,79.5
[H][C@@]1([C@H](O)c2ccnc3ccccc23)C[C@@H]2CC[N@@+]1(Cc1cc(C(C)(C)C)c(OC)c(C(C)(C)C)c1)C[C@@H]2C=C,13.036
Cc1ccc2c(c1)NC(=O)c1cc(S(=O)(=O)N(C)C)c(Oc3ccccc3Br)cc1O2,0.78
CCC(CC)CN(CC(=O)OC)S(=O)(=O)c1ccc(S(C)(=O)=O)cc1,86.97
CCc1ccc(S(=O)(=O)c2nnn3c2[nH]c(=O)c2sccc23)cc1,1.32
Cc1cccc(OCCn2cnc3c(cnn3-c3cccc(C(F)(F)F)c3)c2=O)c1,99.9
CCn1ccc(C(=O)N2CCCN(S(C)(=O)=O)c3ccccc32)n1,7.948
Cc1ccc(OCCn2c(C)c(/C=N/n3cnnc3)c3ccccc32)cc1C,29.747
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@]31C[C@H](C)N(Cc1ccc(Br)cc1)C2,76.729
O=c1[nH]c2c(c(=O)n1-c1cccc(F)c1)S(=O)CC2,92.24
CCCSc1nc(OC)c(-c2ccccc2C)c(=O)n1C,17.326
CS(=O)(=O)N1CCN(CCOc2ccc3c(c2)C(c2cc(F)cc(F)c2)=C(c2cccnc2)C3=O)CC1,4.686
COc1ccc(S(=O)(=O)Nc2ncccn2)cc1,82.11
COC(=O)C1(C)Cc2ccc(Cl)cc2C(=O)O1,0.0
CCn1nc(-c2cc(C)ccc2Cl)nc1N(C)C,5.25
CCCc1cc(-n2ccnc2C)n2nc3nc(C)cc(C)c3c2n1,82.21
N#Cc1nc(-c2ccccc2F)oc1NCC1CCCO1,20.08
O=C1OCc2c(-c3ccccc3)sc(-c3ccc4c(c3)OCO4)c21,53.72
Cc1ccc(-c2nc3scc(CCNS(=O)(=O)c4ccc(Br)cc4)n3n2)cc1,6.18
O=C(Cn1c(=O)n2nc(-c3cccnc3)nc2c2c3c(sc21)CCC3)NCc1ccco1,39.402
CC(C)(C)CNCCn1c(=S)[nH]c2c(Cl)nccc21,97.176
COc1cc(C2c3c(-c4ccccc4)nn(C)c3C(=O)N2Cc2ccco2)cc(OC)c1O,9.026
Cc1sc2c(c1C)c1nnc(SCCN(C)C)n1c1nnc(SCCN(C)C)n21,57.392
CN(Cc1ccccc1)C(=O)c1c(OCC2CC2)cc(=O)n2c1CCOCC2,99.35
COc1ccc(N)cc1N1CCCCS1(=O)=O,99.9
CC(C)(C)c1ccc(Oc2ccc(N)c(Cl)c2)cc1,76.354
CN1CCCC2(CCN(C3CCN(c4ccc(F)c(F)c4)CC3)C2)C1=O,71.77
CC(C)CC(O)C1CCN(C(=O)CCCn2cncn2)CC1,89.25
Cc1c(C)n(CCN2CCOCC2)c2ncn3nc(-c4ccc(Cl)cc4Cl)nc3c12,99.99
CC1(C)CC(NC(=O)CCc2nc3ncc(Br)cc3[nH]2)CC(C)(C)N1,62.89
COC(=O)c1[nH]cc(C(=O)C2CCNCC2)c1C,85.828
CCCn1c(=O)c2ccc(C(=O)NC(C)C)cc2n2c(=O)n(Cc3ccc(C)cc3)nc12,99.99
CCC(C)Nc1[nH]c2cc(C)cc(C)c2c(=O)c1C(C)=O,1.24
Cn1cc(-c2nn(S(=O)(=O)c3ccc(Br)s3)c(-c3cnn(C)c3)c2Cl)cn1,0.412
O=C(O)c1nn(-c2ccccc2)nc1-c1nn(-c2ccccc2)nc1C(=O)O,59.847
CCOC(=O)Cn1ccc2cc(N3C(=O)N4CCCC4(C)C3=O)ccc21,12.44
Cc1cccc(C2NCCc3c2[nH]c2ccccc32)c1,99.99
CCS(=O)(=O)Nc1cccc(-c2cc(=O)n(-c3ccc(F)c(Cl)c3)nc2C)c1,99.99
COc1ccc(CCN2CCC(NC(=O)c3cc4cc(Br)ccc4o3)CC2)cc1,14.07
Cc1cc(-c2cc(=O)[nH]c3nc4ccccc4n23)n(C)n1,70.39
O=C(C1CCOCC1)N1CCCC(Cn2cnc3cccnc32)C1,95.68
CCOC(=O)CNC(=O)N1Cc2c(sc3c2CCCC3)-n2cccc2C1C(C)C,1.0
CCc1cc2c3c([nH]c2cc1S(=O)(=O)N(Cc1ccccc1)C(C)C)CCCC3=O,99.9
CC1(C)CC(S(=O)(=O)CC2(C)CC(c3ccc(Br)o3)=NO2)=NO1,99.0
CC(O)CN(Cc1cc(F)cc(Br)c1)C(C)C,15.588
Cc1oc(=O)n(Cc2cc(C(N)=O)oc2C(C)(C)C)c1C,86.695
Brc1ccc(-c2c[nH]c(CNc3nncn3-c3ccccc3)n2)cc1,50.893
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2ccccc2nc1-c1ccccc1,63.91
COc1ccc(C2(CNC(=O)C(F)(F)F)CCCCC2)cc1,3.54
CCCNC1=Nc2ccccc2S(=O)(=O)N1CCC,9.868
O=C(Nc1nc(-c2ccncc2)cs1)c1ccccn1,13.13
Nc1ccc(Oc2ccnc3ccsc23)c(F)c1,46.793
CN1C(=O)c2ccccc2C(C(=O)Nc2nc3ccccc3[nH]2)C1c1ccccc1,61.21
Cn1cc(-c2noc(C3CCCCC3)n2)ccc1=O,47.977
Cc1cc(C)n(CC(O)CON=C2c3ccccc3-c3ccccc32)n1,4.93
Brc1ccc2ccnc(N3CCCC3)c2c1,1.093
COCc1nn2c(nnc3c(=O)n(NC(C)=O)ccc32)c1-c1ccc(F)cc1,99.99
CC(=O)Nc1cccc(C(=O)Nc2ccccc2)c1,77.25
c1ccc(C(c2ccccc2)c2n[nH]c3c2CNCC3)cc1,99.834
CS(=O)(=O)c1ccc(Oc2cc(F)cc(C(=O)O)c2)c2c1[C@H](O)C(F)(F)C2,99.9
O=C(CCc1ccc(C(F)(F)F)cc1)N1C2C=CCC1CC2,13.893
CSc1c(C(C)=O)c(=O)nc2scc(C)n12,45.295
OC(CN1CCCCCC1)CN(c1ccccc1)c1ccccc1,8.15
O=C1COc2ccc(-c3cc4ccccn4c3)cc2N1,0.0
Oc1c(Cl)c(Nc2ccccc2)c(O)n1-c1ccccc1,57.712
O=C1C(c2cnc3ccccc3c2)=C(c2cc(F)cc(F)c2)c2ccc(OCCN3CCS(=O)(=O)CC3)cc21,44.264
N#Cc1ccccc1COc1ccc2c(c1)OCO2,55.443
O=C1OCc2c(-c3ccccc3)sc(-c3ccccc3)c21,2.8
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2N)n1,76.85
CN(C)C1CCN(c2ncnn3c(Br)ccc23)CC1,94.51
CN(C)S(=O)(=O)c1cc(C(=O)NCC(c2ccccc2)N2CCOCC2)c(Cl)cc1Cl,1.22
COc1cc(=O)n(C)cc1C(=O)N1CCN(c2ccc(C(F)(F)F)cn2)CC1,99.0
Cc1nc(NC(C)Cc2ccccc2)c(C#N)c2c1COC(C)(C)C2,2.54
CC(C)CCNC(=O)N1Cc2c(sc3c2CCCC3)-n2cccc2C1c1ccccc1,1.0
CC(NC(=O)CN1C(=O)CCn2nc(-c3cn(C)c4ccccc34)cc21)c1ccc2c(c1)OCCO2,11.48
CC(C)C(C(=O)NC1CCN(C(=O)NC(C)(C)C)CC1)N(C)C,69.315
CC(C)CCn1cnc2c(cnn2-c2ccc(Cl)cc2)c1=O,35.76
Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)N1CCC(C(=O)NCCC(C)C)CC1,78.21
CC(CC(=O)O)CC(=O)Nc1sc(C(C)C)cc1C(N)=O,79.209
O=C(C1CCc2n[nH]c(=O)n2C1)N1CCc2ccc(F)c(F)c2C1,93.81
O=C(Cc1c[nH]c2ccccc12)N1CCc2cc(-c3ccno3)ccc21,60.87
O=S(=O)(c1ccccc1)n1ccc2ncccc21,29.74
COC(=O)c1c(NC(=O)N2CCN(C(=O)C(C)C)CC2)sc2c1CC(C)(C)OC2,88.04
c1ccc2c(c1)CCN(c1nc(N3CCOCC3)c3nn[nH]c3n1)C2,81.019
CCC(CN1CCN(C)CC1)NC(=O)Cc1csc(Nc2ccccc2F)n1,50.59
CN(n1cnc2ccsc2c1=O)S(C)(=O)=O,99.9
O=C1N=C(O)N=C(O)/C1=C\NNC(=O)c1ccccc1O,88.837
COCCNC(=O)C(=O)N1CCC(OC(=O)c2ccc(Oc3ccccc3)cc2)C(N2CCN(c3ccc(F)cc3)CC2)C1,58.172
COc1nccnc1Oc1cc(F)c(CN2CCCC2)c(Cl)c1,98.2
COc1ccc(C2N(C(C)=O)c3ccccc3N2S(=O)(=O)c2ccc(C)cc2)cc1,0.0
CCN1CCC(N(C)S(=O)(=O)c2c(C)cc(C(C)(C)C)cc2C)CC1,61.64
CN(C(=O)CN1CCC(NC(=O)C2CCCCC2)CC1)C1CCCCC1,5.21
OCCN1CCN(Cc2nc(O)c3ccccc3n2)CC1,99.99
CN(Cc1cccnc1)C(=O)c1c(OCC2CC2)cc(=O)n2c1CCCCC2,50.48
COc1cccc(CNC(=O)N2Cc3c(sc4c3CCCC4)-n3cccc3C2C)c1,1.78
COc1cc(-c2nc(C)c(C(=O)NCCc3ccc(S(N)(=O)=O)cc3)s2)cc(OC)c1OC,41.28
CN(C)c1nc(N)nc(CNc2nccc(C3CCCC3)n2)n1,1.57
CCNC(=O)NCCc1ccc(OC)c(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c1,0.86
CCc1cc(N2CC[C@H](F)C2)n2nc(C)c(C)c2n1,12.29
Cc1c(C(=O)O)sc2[nH]c(=O)n(CC(C)C)c(=O)c12,79.441
COc1ccc(Cl)cc1NC(=O)c1cc2c(=O)oc3ccccc3c2n1C,80.38
CC1(COc2ccc(Cl)cc2)CC(n2cncn2)C(c2ccc(Cl)cc2)=NO1,73.64
O=C(C1=NN(C2CCS(=O)(=O)C2)C(=O)CC1)N1CCN(C/C=C/c2ccccc2)CC1,36.57
Cn1ccc(Cn2nnn(-c3cccs3)c2=O)cc1=O,86.51
CCc1cc2c(Nc3ccc(OC)cc3OC)ncnc2s1,5.3
COC(=O)c1ccc2c(c1)nc(-c1ccc(C(C)(C)C)cc1)n2Cc1ccc(F)cc1,94.702
O=C1CCC2(C(=O)NCCCn3cccn3)CCCC=C2N1C1CCCC1,51.156
COc1ccc(CCCNC(=O)c2cnn3cc(Br)cnc23)cc1,48.91
COc1cc(=O)n(C)cc1C(=O)NCCOc1ccc(F)cc1,99.0
c1ccc(OCCN2CCCC3(C2)Nc2ccccc2-n2cccc23)cc1,2.37
CC(C)NC(=O)c1cc(Cl)cc(Cl)c1NC(=O)c1cc(OCC(=O)C(C)(C)C)nn1-c1ncccc1Cl,62.5
Oc1cc(-c2cccc(-c3ccc4c(c3)OCO4)c2)nn1-c1ccccn1,20.42
CC(Nc1ccn(CCS(C)(=O)=O)n1)c1nc(C(C)(C)C)no1,76.112
C[C@H](Nc1ccnc2c1NC(=O)CN2)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,75.74
c1ccc2c(c1)CC(CNc1nccc(-n3cccn3)n1)CO2,1.18
O=c1ccn(-c2ccc(Cl)c(-c3ccc(Cl)cc3)c2)[nH]1,32.131
CN(C)c1ccc(-c2nc3n(c2NC(C)(C)CC(C)(C)C)CCNC3)cc1,19.702
CNC1=C(c2cc(Br)ccn2)C(=O)C(c2cccc(Cl)c2)O1,99.99
O=C(NCC1COc2ccccc2O1)c1c(-c2cncnc2)cc(=O)n2c1CCCC2,72.96
COc1ccccc1CNC(=O)c1cc2c(s1)CS(=O)(=O)C2,80.945
CCOC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,2.05
N#Cc1nccnc1OC1CCN(C(=O)C2CC(=O)N(C3CCOCC3)C2)C1,87.78
CCn1cc(CN(C/C=C/c2ccco2)CC(C)C)cn1,1.449
Cc1ccc(-n2nncc2-c2ccc(O)cc2O)cc1,99.99
CCOc1cccc2c1OC1(CCN(CC)CC1)N1N=C(c3ccccc3)CC21,69.57
Cc1cc(C)cc(NC(=O)N2Cc3c(sc4c3CCCC4)-n3cccc3C2c2cccs2)c1,32.47
CN(Cc1ccccc1)Cc1cc(=O)n2nc(-c3ccc(C(C)(C)C)cc3)nc2[nH]1,41.304
O=S(=O)(Nc1ccc2[nH]ncc2c1)c1cc(Cl)c(Cl)cc1Cl,99.0
CC12CC3(C(=O)Nc4ccc(Cl)cc4C(=O)c4ccccc4)C1CCC23C,0.0
O=C(Nc1cccc2ccccc12)C1c2ccccc2Oc2ccccc21,66.14
O=C(Nc1n[nH]c(Cc2ccc(F)cc2)n1)c1ccn2nnnc2c1,31.1
COc1ccccc1CNC(=O)c1c(OCC2CC2)cc(=O)n2c1CCCCC2,2.12
CC(=O)Nc1ccc(Nc2cc(C)nc(-n3nc(C)cc3C)n2)cc1,58.986
CCN(c1ccc2c(c1)OCO2)c1cc(Cl)nc(Cl)n1,50.06
Cc1nc2c(cc1Br)nc(Cl)n2C,15.08
CCc1c[nH]c2ncnc(NCC(Cc3ccccc3)c3ccccn3)c12,0.11
CCn1c(N)c(-c2nc3ccccc3[nH]2)c(=O)c2ccccc21,85.464
Cn1nc(CNC(=O)c2cccn(C)c2=O)c2c1CCCC2,62.249
Cc1ccccc1/N=C1\Nc2cccc3cccc1c23,2.766
CC(C)(NC(=O)C1CCC(NC(=O)C2CCCC2)CC1)c1noc(C(N)=O)n1,74.529
COC(=O)[C@@H](O)c1c(C)nc2[nH]c3c(c2c1-c1ccc(Cl)cc1)CCCC3,55.01
Cn1ncc2c1NC(=O)CC2c1cc(Cl)cc2c1OCOC2,40.076
CCN(CCCNc1nc(-c2ccccc2)no1)c1ccccc1,1.53
Cc1cc(C(=O)Nc2nnc(Cc3cccs3)o2)n(C)n1,65.423
CC(C)(C)OC(=O)NCCNC(=O)Cc1cc(=O)oc2cc(O)ccc12,99.9
NC(=O)c1cccc2cc(CN3CCN(c4ccccc4Cl)CC3)oc12,79.02
CS(=O)(=O)N1CCCC1C(=O)Nc1nc2cc3c(cc2s1)OCO3,0.012
COC(C)(C)c1noc(-c2ccc(=O)n(C)n2)n1,65.608
CC1CN(C2c3ccccc3-c3ccccc32)CC(C)(C)O1,45.748
COc1cc(=O)n2c(c1C(=O)Nc1cccc3c1CCCC3)CCCC2,21.14
O=C(COc1ncnc2scc(-c3ccccc3)c12)c1ccc(S(=O)(=O)N2CCCC2)cc1,1.348
CCN(CC)S(=O)(=O)c1ccc(NC(=O)CN(c2cc(C)ccc2C)S(C)(=O)=O)cc1,1.39
CCOc1ccccc1NC(=O)NC1(C(=O)O)CCCCC1,53.69
[H][C@]1(c2cc(O)cc(O)c2)c2c(cc3c(c2/C=C/c2ccc(O)cc2)[C@]([H])(c2cc(O)cc(O)c2)[C@@]([H])(c2ccc(O)cc2)O3)O[C@]1([H])c1ccc(O)cc1,59.341
COCC(C)N(Cc1cc(OC)cc(OC)c1)C(=O)CCCC(C)=O,21.399
CCc1nc2cc(Br)c(C(=O)OC)nc2n1CC(=O)c1ccccc1,0.929
Cn1cc(C(N)=O)cc1C(=O)Nc1ccccc1Oc1ccccc1,14.81
CN(C)C[C@H]1CC[C@H](Nc2ncc3ccc(=O)n(C4CCCCCC4)c3n2)CC1,18.72
CC(=O)c1cccc(NC(=O)CN(C)S(=O)(=O)c2c(C)cc(C)cc2C)c1,10.86
COc1cc(C)c2c(c1C=O)Oc1c(c(C)c(O)c3c1C(O)OC3=O)OC2=O,99.9
COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n1)CCCN(C(=O)CO)C2,1.89
CCn1c(=O)n(Cc2cc(-c3ccccc3)no2)c2ccccc21,18.11
COc1cc(=O)[nH]cc1C(=O)N1CCOC(c2nc(C)cs2)C1,99.0
CCCn1c(N)c(N(CCOC)C(C)=O)c(=O)n(CC(=O)Nc2cc(Cl)cc(Cl)c2)c1=O,53.732
[H][C@@]1([C@@H](C)OC(C)=O)NC(=O)[C@H](CC(C)C)NC1=O,93.8
CN1CCc2c(c3ccccc3n2-c2cncnc2)C1,69.303
CC(C)(C)c1cnnn1-c1ccc(C(=O)COC(=O)c2ccccc2)cc1,0.07
Oc1cccc(-c2nc3c(s2)Cc2ccccc2-3)c1,1.474
CCC1c2c(OC)c3c(c(OC)c2C(c2cc(OC)c4c(c2OC)OCO4)C1C)OCO3,19.594
Cc1cc(O)c(C(c2ccco2)c2c(O)cc(C)n(C)c2=O)c(=O)n1C,87.669
Cn1cc(-c2cnc3c(N)nn(Cc4cccc(C(F)(F)F)c4)c3c2)cn1,63.812
Cc1cc(CO)cc(Oc2nc(Cl)nc(Cl)c2C(C)C)c1,22.461
O=C1c2ccsc2CCC1N1CCN(c2ncccn2)CC1,5.29
O=c1[nH]ncn2c1cc1cc(Br)ccc12,72.3
Cc1cnc(C)n1CCNS(=O)(=O)c1cccs1,71.11
N#Cc1nnc2ccccc2c1Oc1ccc2ncccc2c1,50.28
COc1cc2nc(OC3CCN(C(=O)OC(C)(C)C)CC3)nc(Nc3ccc(S(C)(=O)=O)cc3F)c2cc1OC,2.69
Cn1ncc2c(NCCO)n/c(=N/c3cccc(F)c3)[nH]c21,11.68
c1ccc(CN2CCc3nc(N4CCCC4)nc(N4CCn5cnnc5C4)c3C2)cc1,23.024
C=CCn1cc(Cl)cc/c1=N\C=C(/C#N)C(=O)OCC,54.361
Cc1ccc(C(=O)N2CCN(C(=O)c3ccc(C)cc3)C2)cc1,68.2
CCOC(=O)C(C)(C)Cc1nc(-c2ccc(OCc3ccc(OC)cc3)cn2)no1,0.995
CCN1CCN(C(=O)c2ccc3c(c2)N(Cc2cccc(Cl)c2)C(=O)c2ccccc2S3=O)CC1,32.32
COC(=O)c1c(OC)cc2c(c1C)Oc1c(Cl)c(O)c(Cl)c(C)c1C(=O)O2,77.774
CNC(=O)C1CCN(c2nc(Nc3ccc4[nH]ncc4c3)nc(OC)n2)CC1,93.96
Cc1nnsc1C(=O)Nc1onc2c1CSC2,22.322
CC(C)n1[nH]c(=O)c2c(-c3ccc[nH]c3=O)c3c(nc21)[nH]c(=O)n3C,25.279
O=C(c1ccc(F)cc1)c1c2nc[nH]c(=O)c2c2ccccn12,43.152
CC(=O)N1CCN(C(=O)Cn2nc(C)c(C)c2C)CC(O)C1,25.246
COC(=O)CC(c1cc(OC)c(O)c(OC)c1)c1c(O)n2ccccc2nc1=O,46.48
O=S(=O)(NCCCOC1CCCCC1)c1ccc(Cl)c(-c2nnn[nH]2)c1,44.323
